TITLE	DATES	LOCATION	DESCRIPTION
Laufey - Bewitched: The Goddess Tour	April 19, 2024	Bass Concert Hall - Texas Performing Arts	Laufey (pronounced lāy-vāy) is a 24-year-old, Los Angeles-based singer, composer, producer and multi-instrumentalist whose jazz songs are about young love and self-discovery. Raised between Reykjavík and Washington, D.C. with annual visits to Beijing, the Icelandic-Chinese artist grew up playing cello as well as piano and became hooked on the jazz standards of Ella Fitzgerald after digging through her father’s record collection.  In 2020, while still a student at Berklee College of Music, Laufey released her debut single “Street by Street,” which went on to top the Icelandic radio charts. Following the release of her 2021 Typical of Me EP, Laufey was named Best New Artist in Jazz and Blues at the Icelandic Music Awards and hosted her own show on BBC Radio 3/BBC Sounds. Her debut full-length Everything I Know About Love, debuted at #1 on Billboard’s Alternative New Artist Album chart, and the lead single “Valentine” peaked at #1 on the Spotify Jazz Chart. In 2022 Laufey was the most streamed jazz artist on Spotify, with 425 million streams across all platforms.
Julia Wolf w/ Scro	April 19, 2024	Empire Control Room & Garage	Live Nation + Resound Present: Julia Wolf w/ Scro at Empire Control Room on 4/19 Doors 7:00pm / Show 8:00pm All Ages
Legacies of the Treaty of Guadalupe Hidalgo Exhibition	February 16, 2024 - May 16, 2025	Bullock Texas State History Museum	Explore the short-term and long-term impacts of the Treaty of Guadalupe Hidalgo through artifacts, documents, artworks, and media.  Featuring 29 artifacts, the special focus exhibit, located in the Statehood Gallery on the Second Floor of the Texas History Gallery, explores the short-term and long-term impacts of the Treaty of Guadalupe Hidalgo on Texas, the United States, Mexico, and Tribal Nations.  At the heart of the exhibit is the Treaty itself, a document that established the border between Texas and Mexico at the Rio Grande and ceded over half of Mexico's northernmost lands to the United States. Don't miss the handwritten pages of the Treaty of Guadalupe Hidalgo, on loan from the National Archives and Records Administration in Washington, D.C.
Log Cabin	4/12/2024, 4/13/2024, 4/14/2024, 4/18/2024, 4/19/2024, 4/20/2024	Trinity Street Playhouse	It’s a faraway age of hope and inclusivity; in other words, it’s 2015. When a tight-knit circle of married gays and lesbians – comfy in the new mainstream – sees themselves through the eyes of their rakish transgender pal, it’s clear that the march toward progress is anything but unified. With stinging satire and acute compassion, Jordan Harrison’s pointed comedy charts the breakdown of empathy that happens when we think our rights are secure, revealing conservative hearts where you’d least expect.  Presented by Austin Rainbow Theatre, the home of LGBTQIA+ performing arts in Central Texas.  This project is funded in part of the City of Austin Elevate grant program.
Let It Be &amp; Abbey Road	April 19, 2024	How Much?! Studios	Join us for an unforgettable evening at HowMuch?! Studios in Austin, TX, USA. Get ready to groove to the iconic tunes of The Beatles as The Lonely Hearts Club takes the stage. They will be performing the timeless albums 'Let It Be' and 'Abbey Road' live, bringing back the magic of these legendary songs. Immerse yourself in the incredible atmosphere and sing along to your favorite hits. Don't miss this chance to relive the golden era of music with a fantastic live performance.  Each event at How Much?! Studios is an exclusive concert-going experience, meticulously curated to showcase the best talent across genres. From intimate showcases to electrifying performances, attendees are treated to unforgettable evenings of music in an atmosphere that celebrates both the artists and the audience. Whether capturing the magic in the studio or igniting the stage with live performances, How Much?! Studios continues to be a driving force in Austin's thriving music scene, shaping the sounds and experiences that define the city's musical landscape.
Fictions More Precious	March 8, 2024 - April 20, 2024	Big Medium	Fictions More Precious features new and existing works from Rodell Warner’s Augmented Archive and Artificial Archive. In these works, the artist uses digital interventions in archival imagery to fictionalize the Caribbean’s past and interrogate the region’s photographic archive. Focusing on moments during photography’s infancy, a period shaped by the uneven power relations of colonialism, the artist interrogates, troubles, and laments the validity of the power of that archive.  Fictions More Precious runs from March 8 - April 20, 2024  Member Preview: March 8, 7-8 PM Opening Reception: March 8, 8-10 PM  Gallery Hours: Thursdays, Fridays, and Saturdays 12-6 PM
Free Concert with Beach Weather	April 19, 2024	Domain NORTHSIDE	Domain NORTHSIDE in North Austin is excited to continue its free concert series with a live performance by renowned American rock ‘n’ roll band Beach Weather on Friday, April 19 at 7 p.m. The event will also feature streetside pop-up bars, yard games, photo opportunities and more.
Gasolina: Reggaeton Party	April 19, 2024	Empire Control Room & Garage	Empire Presents: Gasolina Reggaetón Party in Austin, Texas at Empire Garage on April 19, 2024. DOORS / SHOW: 9:00 Tickets: $15-$20 18+
Hope for Spring: Texas Water	March 20, 2024 - April 28, 2024	Neill-Cochran House Museum	Spring has returned to the Neill-Cochran House Museum, and with it the fourth annual Hope for Spring exhibition. As we step into spring, Texans begin to hear the call of the beautiful Texas waters from Austin’s Barton Springs Pool to Caddo Lake State Park, all the way to the beaches of Galveston. Whether it’s strolling along the San Antonio River Walk, tubing down the Comal River, or casting a fishing line off the pier in South Padre, Texans will always be pulled towards the water as we march towards the warmer months. Hope for Spring: Texas Water is our celebration of Texas water, and how it revitalizes not only us, but the land around us.  IMPORTANT DATES: Show Dates: Opens March 20th-April 28th Opening Reception: Saturday, March 23rd (free event) Hope for Spring Art on the Lawn: Sunday, April 14th, 11-3pm *This is an exclusive Art on the Lawn specifically for Hope for Spring participating artists.  Hope for Spring: Texas Water will be on display throughout the historic house museum embedded among the NCHM Collection. The exhibition is included with NCHM general admission. Learn more here: https://www.nchmuseum.org/hope-for-spring-texas-water
Into The Woods	April 11, 2024 - April 21, 2024	Mary Moody Northern Theater	Mary Moody Northen Theatre, on the campus of St. Edward's University, is a professional arena theater serving both the students of St. Ed's and the community of Austin. The University's theater program is grounded in classroom training mixed with production experience. In addition MMNT invites guest artists from the world of professional theater, film and television to work with faculty and students in production.   The narrative unfolds with 4 main characters. The first two are Baker and his wife, who are wishing for a child. The third is Cinderella, whose wish is to attend the King's Festival. The fourth is Jack, who wishes his cow would produce milk. When the Baker and his wife discover they can't have a child due to the Witch's curse, they embark on a quest to break the curse. While everyone's wishes are granted, the consequences of their actions come back to haunt them, leading to disastrous outcomes.   Showtimes: April 11 - 21, 2024 Thursday - Saturday at 7:30pm Sundays at 2pm
Julia C. Butridge Gallery Exhibit: Parts to Whole	April 6, 2024 - June 1, 2024	Dougherty Arts Center	On display at the Julia C. Butridge Gallery the exhibit "Parts to Whole" artwork by artist Katie Conley.  Parts to Whole is a collection of collages meticulously crafted from postage stamps. Each intricate detail plays a vital role in the larger design and is the result of hours of careful consideration. Testing the size, shape, color, and subject matter of each stamp, Katie Conleys ensures harmony in every composition, often surprising viewers with her sourced material.
Julia C. Butridge Gallery Exhibit: Scent of Austin	March 23, 2024 - April 20, 2024	Dougherty Arts Center	On display at the Julia C. Butridge Gallery the exhibit "Scent of Austin" photographic artwork by artist Ziesook You.  Ziesook incorporates symbolism inspired by Broq-pa floral traditions to capture intimate, multi-layered portraits. She began working with this theme in 2016, taking photos of her twin daughters, and has since expanded her subjects to include single mothers, seniors, and people with multi-cultural backgrounds. Since moving to Austin two years ago, Ziesook has begun work on her “Scent of Austin” series, utilizing flora and fauna from central Texas in her photographs of Austinites.  The City of Austin is committed to compliance with the Americans with Disabilities Act. Reasonable modifications and equal access to communications will be provided upon request. For assistance please contact (512) 974-3914 or Relay Texas 7-1-1
Julia Wolf w/ Scro	April 19, 2024	Empire Control Room & Garage	Live Nation + Resound Present: Julia Wolf w/ Scro at Empire Control Room on 4/19 Doors 7:00pm / Show 8:00pm All Ages
Laufey - Bewitched: The Goddess Tour	April 19, 2024	Bass Concert Hall - Texas Performing Arts	Laufey (pronounced lāy-vāy) is a 24-year-old, Los Angeles-based singer, composer, producer and multi-instrumentalist whose jazz songs are about young love and self-discovery. Raised between Reykjavík and Washington, D.C. with annual visits to Beijing, the Icelandic-Chinese artist grew up playing cello as well as piano and became hooked on the jazz standards of Ella Fitzgerald after digging through her father’s record collection.  In 2020, while still a student at Berklee College of Music, Laufey released her debut single “Street by Street,” which went on to top the Icelandic radio charts. Following the release of her 2021 Typical of Me EP, Laufey was named Best New Artist in Jazz and Blues at the Icelandic Music Awards and hosted her own show on BBC Radio 3/BBC Sounds. Her debut full-length Everything I Know About Love, debuted at #1 on Billboard’s Alternative New Artist Album chart, and the lead single “Valentine” peaked at #1 on the Spotify Jazz Chart. In 2022 Laufey was the most streamed jazz artist on Spotify, with 425 million streams across all platforms.
Legacies of the Treaty of Guadalupe Hidalgo Exhibition	February 16, 2024 - May 16, 2025	Bullock Texas State History Museum	Explore the short-term and long-term impacts of the Treaty of Guadalupe Hidalgo through artifacts, documents, artworks, and media.  Featuring 29 artifacts, the special focus exhibit, located in the Statehood Gallery on the Second Floor of the Texas History Gallery, explores the short-term and long-term impacts of the Treaty of Guadalupe Hidalgo on Texas, the United States, Mexico, and Tribal Nations.  At the heart of the exhibit is the Treaty itself, a document that established the border between Texas and Mexico at the Rio Grande and ceded over half of Mexico's northernmost lands to the United States. Don't miss the handwritten pages of the Treaty of Guadalupe Hidalgo, on loan from the National Archives and Records Administration in Washington, D.C.
Let It Be &amp; Abbey Road	April 19, 2024	How Much?! Studios	Join us for an unforgettable evening at HowMuch?! Studios in Austin, TX, USA. Get ready to groove to the iconic tunes of The Beatles as The Lonely Hearts Club takes the stage. They will be performing the timeless albums 'Let It Be' and 'Abbey Road' live, bringing back the magic of these legendary songs. Immerse yourself in the incredible atmosphere and sing along to your favorite hits. Don't miss this chance to relive the golden era of music with a fantastic live performance.  Each event at How Much?! Studios is an exclusive concert-going experience, meticulously curated to showcase the best talent across genres. From intimate showcases to electrifying performances, attendees are treated to unforgettable evenings of music in an atmosphere that celebrates both the artists and the audience. Whether capturing the magic in the studio or igniting the stage with live performances, How Much?! Studios continues to be a driving force in Austin's thriving music scene, shaping the sounds and experiences that define the city's musical landscape.
Log Cabin	4/12/2024, 4/13/2024, 4/14/2024, 4/18/2024, 4/19/2024, 4/20/2024	Trinity Street Playhouse	It’s a faraway age of hope and inclusivity; in other words, it’s 2015. When a tight-knit circle of married gays and lesbians – comfy in the new mainstream – sees themselves through the eyes of their rakish transgender pal, it’s clear that the march toward progress is anything but unified. With stinging satire and acute compassion, Jordan Harrison’s pointed comedy charts the breakdown of empathy that happens when we think our rights are secure, revealing conservative hearts where you’d least expect.  Presented by Austin Rainbow Theatre, the home of LGBTQIA+ performing arts in Central Texas.  This project is funded in part of the City of Austin Elevate grant program.
Fictions More Precious	March 8, 2024 - April 20, 2024	Big Medium	Fictions More Precious features new and existing works from Rodell Warner’s Augmented Archive and Artificial Archive. In these works, the artist uses digital interventions in archival imagery to fictionalize the Caribbean’s past and interrogate the region’s photographic archive. Focusing on moments during photography’s infancy, a period shaped by the uneven power relations of colonialism, the artist interrogates, troubles, and laments the validity of the power of that archive.  Fictions More Precious runs from March 8 - April 20, 2024  Member Preview: March 8, 7-8 PM Opening Reception: March 8, 8-10 PM  Gallery Hours: Thursdays, Fridays, and Saturdays 12-6 PM
Free Concert with Beach Weather	April 19, 2024	Domain NORTHSIDE	Domain NORTHSIDE in North Austin is excited to continue its free concert series with a live performance by renowned American rock ‘n’ roll band Beach Weather on Friday, April 19 at 7 p.m. The event will also feature streetside pop-up bars, yard games, photo opportunities and more.
Gasolina: Reggaeton Party	April 19, 2024	Empire Control Room & Garage	Empire Presents: Gasolina Reggaetón Party in Austin, Texas at Empire Garage on April 19, 2024. DOORS / SHOW: 9:00 Tickets: $15-$20 18+
Hope for Spring: Texas Water	March 20, 2024 - April 28, 2024	Neill-Cochran House Museum	Spring has returned to the Neill-Cochran House Museum, and with it the fourth annual Hope for Spring exhibition. As we step into spring, Texans begin to hear the call of the beautiful Texas waters from Austin’s Barton Springs Pool to Caddo Lake State Park, all the way to the beaches of Galveston. Whether it’s strolling along the San Antonio River Walk, tubing down the Comal River, or casting a fishing line off the pier in South Padre, Texans will always be pulled towards the water as we march towards the warmer months. Hope for Spring: Texas Water is our celebration of Texas water, and how it revitalizes not only us, but the land around us.  IMPORTANT DATES: Show Dates: Opens March 20th-April 28th Opening Reception: Saturday, March 23rd (free event) Hope for Spring Art on the Lawn: Sunday, April 14th, 11-3pm *This is an exclusive Art on the Lawn specifically for Hope for Spring participating artists.  Hope for Spring: Texas Water will be on display throughout the historic house museum embedded among the NCHM Collection. The exhibition is included with NCHM general admission. Learn more here: https://www.nchmuseum.org/hope-for-spring-texas-water
Into The Woods	April 11, 2024 - April 21, 2024	Mary Moody Northern Theater	Mary Moody Northen Theatre, on the campus of St. Edward's University, is a professional arena theater serving both the students of St. Ed's and the community of Austin. The University's theater program is grounded in classroom training mixed with production experience. In addition MMNT invites guest artists from the world of professional theater, film and television to work with faculty and students in production.   The narrative unfolds with 4 main characters. The first two are Baker and his wife, who are wishing for a child. The third is Cinderella, whose wish is to attend the King's Festival. The fourth is Jack, who wishes his cow would produce milk. When the Baker and his wife discover they can't have a child due to the Witch's curse, they embark on a quest to break the curse. While everyone's wishes are granted, the consequences of their actions come back to haunt them, leading to disastrous outcomes.   Showtimes: April 11 - 21, 2024 Thursday - Saturday at 7:30pm Sundays at 2pm
Julia C. Butridge Gallery Exhibit: Parts to Whole	April 6, 2024 - June 1, 2024	Dougherty Arts Center	On display at the Julia C. Butridge Gallery the exhibit "Parts to Whole" artwork by artist Katie Conley.  Parts to Whole is a collection of collages meticulously crafted from postage stamps. Each intricate detail plays a vital role in the larger design and is the result of hours of careful consideration. Testing the size, shape, color, and subject matter of each stamp, Katie Conleys ensures harmony in every composition, often surprising viewers with her sourced material.
Julia C. Butridge Gallery Exhibit: Scent of Austin	March 23, 2024 - April 20, 2024	Dougherty Arts Center	On display at the Julia C. Butridge Gallery the exhibit "Scent of Austin" photographic artwork by artist Ziesook You.  Ziesook incorporates symbolism inspired by Broq-pa floral traditions to capture intimate, multi-layered portraits. She began working with this theme in 2016, taking photos of her twin daughters, and has since expanded her subjects to include single mothers, seniors, and people with multi-cultural backgrounds. Since moving to Austin two years ago, Ziesook has begun work on her “Scent of Austin” series, utilizing flora and fauna from central Texas in her photographs of Austinites.  The City of Austin is committed to compliance with the Americans with Disabilities Act. Reasonable modifications and equal access to communications will be provided upon request. For assistance please contact (512) 974-3914 or Relay Texas 7-1-1
Julia Wolf w/ Scro	April 19, 2024	Empire Control Room & Garage	Live Nation + Resound Present: Julia Wolf w/ Scro at Empire Control Room on 4/19 Doors 7:00pm / Show 8:00pm All Ages
Laufey - Bewitched: The Goddess Tour	April 19, 2024	Bass Concert Hall - Texas Performing Arts	Laufey (pronounced lāy-vāy) is a 24-year-old, Los Angeles-based singer, composer, producer and multi-instrumentalist whose jazz songs are about young love and self-discovery. Raised between Reykjavík and Washington, D.C. with annual visits to Beijing, the Icelandic-Chinese artist grew up playing cello as well as piano and became hooked on the jazz standards of Ella Fitzgerald after digging through her father’s record collection.  In 2020, while still a student at Berklee College of Music, Laufey released her debut single “Street by Street,” which went on to top the Icelandic radio charts. Following the release of her 2021 Typical of Me EP, Laufey was named Best New Artist in Jazz and Blues at the Icelandic Music Awards and hosted her own show on BBC Radio 3/BBC Sounds. Her debut full-length Everything I Know About Love, debuted at #1 on Billboard’s Alternative New Artist Album chart, and the lead single “Valentine” peaked at #1 on the Spotify Jazz Chart. In 2022 Laufey was the most streamed jazz artist on Spotify, with 425 million streams across all platforms.
Legacies of the Treaty of Guadalupe Hidalgo Exhibition	February 16, 2024 - May 16, 2025	Bullock Texas State History Museum	Explore the short-term and long-term impacts of the Treaty of Guadalupe Hidalgo through artifacts, documents, artworks, and media.  Featuring 29 artifacts, the special focus exhibit, located in the Statehood Gallery on the Second Floor of the Texas History Gallery, explores the short-term and long-term impacts of the Treaty of Guadalupe Hidalgo on Texas, the United States, Mexico, and Tribal Nations.  At the heart of the exhibit is the Treaty itself, a document that established the border between Texas and Mexico at the Rio Grande and ceded over half of Mexico's northernmost lands to the United States. Don't miss the handwritten pages of the Treaty of Guadalupe Hidalgo, on loan from the National Archives and Records Administration in Washington, D.C.
Let It Be &amp; Abbey Road	April 19, 2024	How Much?! Studios	Join us for an unforgettable evening at HowMuch?! Studios in Austin, TX, USA. Get ready to groove to the iconic tunes of The Beatles as The Lonely Hearts Club takes the stage. They will be performing the timeless albums 'Let It Be' and 'Abbey Road' live, bringing back the magic of these legendary songs. Immerse yourself in the incredible atmosphere and sing along to your favorite hits. Don't miss this chance to relive the golden era of music with a fantastic live performance.  Each event at How Much?! Studios is an exclusive concert-going experience, meticulously curated to showcase the best talent across genres. From intimate showcases to electrifying performances, attendees are treated to unforgettable evenings of music in an atmosphere that celebrates both the artists and the audience. Whether capturing the magic in the studio or igniting the stage with live performances, How Much?! Studios continues to be a driving force in Austin's thriving music scene, shaping the sounds and experiences that define the city's musical landscape.
Log Cabin	4/12/2024, 4/13/2024, 4/14/2024, 4/18/2024, 4/19/2024, 4/20/2024	Trinity Street Playhouse	It’s a faraway age of hope and inclusivity; in other words, it’s 2015. When a tight-knit circle of married gays and lesbians – comfy in the new mainstream – sees themselves through the eyes of their rakish transgender pal, it’s clear that the march toward progress is anything but unified. With stinging satire and acute compassion, Jordan Harrison’s pointed comedy charts the breakdown of empathy that happens when we think our rights are secure, revealing conservative hearts where you’d least expect.  Presented by Austin Rainbow Theatre, the home of LGBTQIA+ performing arts in Central Texas.  This project is funded in part of the City of Austin Elevate grant program.
Main Course Stand Up Comedy	3/29/2024, 4/19/2024, 5/17/2024, 6/21/2024, 7/19/2024, 8/23/2024	Vulcan Gas Company	The Main Course features a secret lineup of comedians at the iconic Vulcan Gas Company. Our comedians have been featured on Netflix, HBO, Comedy Central, and Showtime. This is gonna be a fun one. $25 online | $30 door GA and Preferred tickets available for purchase.  Doors: 6:30pm | Show: 7:30pm GA is first come first serve. Drinks available inside.  Grab your ticket now and Come enjoy the frenzy!  Happens on the following Dates: Jan 12, 2024, 10:00pm to 11:45pm CST Feb 9, 2024, 7:30pm to 8:45pm CST Feb 24, 2024, 7:30pm to 9:00pm CST Mar 29, 2024, 10:00pm to 11:45pm CST Apr 19, 2024, 10:00pm to 11:45pm CST May 17, 2024, 10:00pm to 11:45pm CST Jun 21, 2024, 10:00pm to 11:45pm CST Jul 19, 2024, 10:00pm to 11:45pm CST Aug 23, 2024, 10:00pm to 11:45pm CST
Melotheory	April 19, 2024	Cactus Cafe	Admission is free! Doors open at 7 p.m., show begins at 7:30 p.m.  An intimate listening room and bar since 1979, the Cactus Cafe has acquired a national reputation showcasing top local, regional, national and international music acts.
Music America: Iconic Objects from America's Music History Exhibit	February 17, 2024 - August 11, 2024	LBJ Presidential Library	Music America exhibit debuts at the LBJ Presidential Library and is on display from February 17 - August 11, 2024. This new exhibit features more than 100 iconic objects from America's music history. The LBJ Presidential Library and the Bruce Springsteen Archives & Center for American Music invite you to explore the exhibit "Music America: Iconic Objects from America's Music History," on display at the LBJ Library.  The Library is open daily from 9 – 5. Last visitor admitted at 4 pm.  "Music America" features instruments, hand-written original lyrics, books, photographs, costumes and other objects from major artists performing in all walks of American music in different decades and tells the story of those artists who contributed to it. Visitors will be able to see artifacts from Texas artists Buddy Holly, Janis Joplin, Stevie Ray Vaughan and Willie Nelson as well as national performers B.B. King, Billie Holiday, Bob Dylan, Carlos Santana, Ella Fitzgerald, Elvis Presley, Frank Sinatra, Jimi Hendrix, Johnny Cash, Lead Belly, Sam Cooke, Whitney Houston, and more.  "Music America" is curated by the Bruce Springsteen Archives & Center for American Music in association with the Rock & Roll Hall of Fame and Museum, New Orleans Jazz Museum, Hard Rock International and other institutions nationwide.
Mo Heart at Moontower JFL	April 19, 2024	Paramount Theatre	Moontower Just for Laughs Austin MO HEART  Doors: 11:30pm Show: 11:59pm  From Kansas City, Mo Heart, formerly known as Monique Heart, became a lgengedary fan favorite on Rupaul’s Drag Race as a runner-up on All Stars and the franchises’ biggest competition yet: UK v The World. Since the show, Mo has conquered television and music - hosting Amazon Music’s flagship show The Walk In which visits the closets of music icons like Lil Nas X, Maren Morris, Charli XCX, and more, to discuss how fashion influences their music and vice versa; It was nominated for 3 Webb’s this year. She launched her own line of hydrating face masks with Mo Beauty which, when applied, re-create some of her most iconic drag looks, and will star in multiple Paramount+ projects this year!
Paper Trails	April 6, 2024 - June 1, 2024	Dougherty Arts Center	Bernie Diaz manipulates words and images to create assemblages that redirect and obscure origins. Incorporating historical processes of revision, omission, and embellishment, he creates glyph-like arrangements that seek completeness from fragmentation. His process involves scavenging, cutting, layering, and rearranging materials to achieve a sense of completeness from seemingly unrelated parts informed by his ongoing identity formation as a border-dwelling, queer, Tejano.
Rob Baird Album Preview Show	April 19, 2024	The 04 Center	Born and raised in Memphis, TN, Rob Baird began his career sneaking into juke joints and landing between-set gigs at local clubs before he was old enough to drink. By his early twenties, he’d scored a Nashville publishing deal, but an insatiable desire for creative independence eventually led him to Austin, TX, where he spent the better part of the next decade grinding it out on the road, releasing six critically acclaimed studio albums on his own label and sharing dates with the likes of Jason Isbell, Nathaniel Rateliff, and Billy Joe Shaver. Along the way, he would earn praise everywhere from Rolling Stone to the Wall Street Journal, land songs in TV shows including Yellowstone and Nashville, and rack up nearly 100 million streams across platforms.  Baird’s latest album, Burning In The Stars, is undoubtedly his finest, laying it all on the line with raw, vulnerable reflections on hope and loss, faith and resilience, heartbreak and redemption. The songs are lean and compact, cutting to the quick with surgical precision, and the performances are similarly direct, fueled by earnest, melodic arrangements that call to mind everything from Tom Petty and Bob Seger to Lucinda Williams. The result is a cinematic mix of alt-country intimacy and rock and roll ecstasy that refuses to shy away from pain in its pursuit of growth, a masterfully mature work of lyrical and sonic craftsmanship built around the promise that it’s never too late to become who we’re meant to be.
Romeo y Juliet	April 10, 2024 - April 21, 2024	Oscar G. Brockett Theatre	A bilingual adaptation of one of Shakespeare’s most cherished works, Romeo y Juliet recounts the tale of two star-crossed lovers, daughters from the feuding houses of Capulet and Montague, reimagined in Alta, California in the 1840’s prior to the annexation of California to the United States. Set in the limbo between Mexican rule and new statehood, this retelling shifts between English and Spanish, bringing new life to a well-loved tale of love, bloodshed, family and fate.
Romeo and Juliet	April 5, 2024 - April 27, 2024	The Curtain Theatre	The Baron's Men present Shakespeare's Romeo and Juliet, directed by Lindsay M. Palinsky. Performances are at the Curtain Theatre, Austin's only outdoor Elizabethan style "wooden O" theater on the waterfront in west Austin.  Tickets are $25/general admission, $22/students & seniors. Please contact us at info@thebaronsmen.org for inquiries about group (10+) or educational rates.
Roy Wood Jr. at Moontower JFL	April 19, 2024	Paramount Theatre	Moontower Just for Laughs Austin ROY WOOD JR.  Doors: 6pm Show: 7pm  Roy Wood Jr. is a comedian, an Emmy-nominated documentary producer for the PBS documentary The Neutral Ground, and for 8 years served as a correspondent on Comedy Central’s Emmy-winning The Daily Show (2015-23). Spring of 2023, Wood Jr. guest hosted The Daily Show and headlined the White House Correspondents' Dinner to its highest ratings since 2017.  Wood co-starred alongside Jon Hamm in Paramount Pictures' long-awaited Fletch remake, Confess, Fletch (2022), and has guest appearances in ‘Only Murders in the Building’, ‘Better Call Saul’, ‘The Last O.G.’ & ‘Space Force.’  His first Comedy Central one-hour stand-up special Roy Wood Jr.: Father Figure, debuted in 2017, the same year he was named the new host of Comedy Central’s storytelling series, This is Not Happening. Debuting in 2019, his second Comedy Central special Roy Wood Jr.: No One Loves You, remains the network’s highest-rated original stand-up premiere. In 2021, his third Comedy Central special Roy Wood Jr.: Imperfect Messenger, aired hyper-recent material just two weeks after taping.
Soulful Sounds in Austin	April 19, 2024 - April 19, 2024	Dougherty Arts Center	You’ve probably seen “NYC's Jazzy R&B Duo” on HBO or Amazon, but this is your chance to experience their fun personalities at one of their shows! This playful couple might remind you of Lucy & Ricky, and if you like everything from Erykah Badu to Billie Holiday, you'll love grooving to their Soulful Sounds. Acute Inflections is known for using call-and-response and witty freestyles to interact with audiences, and their humorous banter will definitely get you laughing!  Tickets are selling quickly for their performances in Austin on April 19th and 20th, so prepare for a special evening of music and comedy!  Happens on the following Dates: Apr 19, 2024, 7:30pm to 9:00pm Timezone: CDT Apr 20, 2024, 7:30pm to 9:00pm Timezone: CDT
THE BLACK FEMINIST GUIDE TO THE HUMAN BODY	April 12, 2024 - May 4, 2024	The Vortex	The VORTEX and Fusebox Festival proudly present the commissioned world premiere of The Black Feminist Guide to the Human Body, a new choreopoem by award-winning playwright and Black cultural studies scholar Lisa B. Thompson. The show premieres 25 years after the debut of her classic comedy Single Black Female and is dedicated to Thompson’s mentor and friend, the legendary theater director Shirley Jo Finney.  Conceived during Thompson’s 2021 MacDowell artist residency and developed during her 2023-24 Texas Performing Arts and Fusebox artist residency, The Black Feminist Guide to the Human Body meditates on Black women’s experiences from the perspectives of mind, body, and spirit. What makes the piece unique is its focus on middle-aged and older Black women, an often invisible and neglected group, especially by the medical establishment. Thompson also celebrates Black feminist pioneers and icons whose contributions to the arts, culture, politics, and academia transformed the world. The piece culminates in an audience dance party and an invitation for Black women to share their own contributions to Black feminist wisdom.
Sugar Sammy at Moontower JFL	April 19, 2024	Stateside at the Paramount	Moontower Just for Laughs Austin SUGAR SAMMY  Doors: 6pm Show: 7pm  Sugar Sammy is one of the hottest comedians on the international circuit. The New York Times calls him “A fearless comic with a talent for provoking both laughter and outrage”. He has performed over 2,000 shows in 32 countries. “Fluent in Funny” as the Washington Post describes him, he hits on cultural, social and political themes with great charm and finesse. He is a master of crowd work and audience interaction. Sugar Sammy's international TV credits include specials broadcast on HBO Canada, Comedy Central Asia, Comedy Central India, CTV, The Comedy Network, The Comedy Channel, Dutch TV and Showtime Arabia. A television star on both sides of the pond, his accomplishments include his current role as judge on La France a un Incroyable talent, France’s version of America’s Got Talent.
Main Course Stand Up Comedy	3/29/2024, 4/19/2024, 5/17/2024, 6/21/2024, 7/19/2024, 8/23/2024	Vulcan Gas Company	The Main Course features a secret lineup of comedians at the iconic Vulcan Gas Company. Our comedians have been featured on Netflix, HBO, Comedy Central, and Showtime. This is gonna be a fun one. $25 online | $30 door GA and Preferred tickets available for purchase.  Doors: 6:30pm | Show: 7:30pm GA is first come first serve. Drinks available inside.  Grab your ticket now and Come enjoy the frenzy!  Happens on the following Dates: Jan 12, 2024, 10:00pm to 11:45pm CST Feb 9, 2024, 7:30pm to 8:45pm CST Feb 24, 2024, 7:30pm to 9:00pm CST Mar 29, 2024, 10:00pm to 11:45pm CST Apr 19, 2024, 10:00pm to 11:45pm CST May 17, 2024, 10:00pm to 11:45pm CST Jun 21, 2024, 10:00pm to 11:45pm CST Jul 19, 2024, 10:00pm to 11:45pm CST Aug 23, 2024, 10:00pm to 11:45pm CST
Melotheory	April 19, 2024	Cactus Cafe	Admission is free! Doors open at 7 p.m., show begins at 7:30 p.m.  An intimate listening room and bar since 1979, the Cactus Cafe has acquired a national reputation showcasing top local, regional, national and international music acts.
Mo Heart at Moontower JFL	April 19, 2024	Paramount Theatre	Moontower Just for Laughs Austin MO HEART  Doors: 11:30pm Show: 11:59pm  From Kansas City, Mo Heart, formerly known as Monique Heart, became a lgengedary fan favorite on Rupaul’s Drag Race as a runner-up on All Stars and the franchises’ biggest competition yet: UK v The World. Since the show, Mo has conquered television and music - hosting Amazon Music’s flagship show The Walk In which visits the closets of music icons like Lil Nas X, Maren Morris, Charli XCX, and more, to discuss how fashion influences their music and vice versa; It was nominated for 3 Webb’s this year. She launched her own line of hydrating face masks with Mo Beauty which, when applied, re-create some of her most iconic drag looks, and will star in multiple Paramount+ projects this year!
